Word,WordFrequency
eagerness,234
succeeds,51048
gold,46019
excellently,668
spellbound,14
prompt,349158
marvel,2736
conciliatory,9
passionately,84
ambitiously,27
incredibly,26787
celebratory,35
regard,44099
sumptuously,10
chic,572
comfortably,2733
dead-on,47
renowned,419
matchless,20
exalt,20
delicious,3986
outsmart,516
stylish,2226
willing,50563
celebrate,1144
economical,1245
luxurious,376
promoter,1275
fine,2578110
ebullience,1
unaffected,7715
energy-efficient,86
fav,8001
support,1349559
durable,10045
slick,18452
educated,5440
led,71000
compassion,275
astutely,100
sophisticated,23060
passion,2359
great,655294
terrifically,137
thankful,21416
smiling,1344
convenience,60809
tempting,3950
fortune,3785
merry,2861
overture,138
respectful,565
straighten,1029
courageous,193
simplifying,13732
intelligible,681
chivalrous,10
god-given,15
enthrall,4
tranquil,140
luckier,115
inspiration,16143
pleasurably,1
rejuvenated,12
overtakes,196
pleased,5306
whooa,9
balanced,24021
blossom,1036
successful,321409
proven,15927
enchanted,344
easy-to-use,2806
honest,33674
gains,14345
suitable,140221
lustrous,12
endorse,1398
affluence,39
substantive,593
resplendent,15
smooth,78443
protection,61274
peaceful,495
imaginative,362
cost-effective,960
defeat,9427
tender,2809
relish,627
zeal,233
kindness,1100
bullish,926
respite,151
adoringly,2
lucky,24989
appreciate,360410
rightful,434
fervently,29
purify,1330
wieldy,45
patriotic,94
rectifying,757
sleek,907
adoring,17
optimistic,11376
exhilarating,38
gallantly,11
edify,51
serene,170
benefits,71983
glitz,24
quaint,218
recommend,570363
swiftness,33
indulgent,271
illuminate,1965
promised,5405
coherence,4389
won,54091
gem,367150
well-run,16
permissible,3499
courteous,192
accomplish,286853
outstrip,53
adaptable,2787
unbiased,1633
restored,33191
richly,225
solid,765848
advocates,1237
luck,329970
booming,122
festive,193
principled,581
elite,3144
best,1757163
conscientious,203
twinkly,23
heal,2787
humour,2008
amazed,2971
pinnacle,447
thoughtfully,303
poetic,193
enhanced,23327
pain-free,147
admirer,50
healthful,11
patience,10738
trophy,1221
likable,146
progress,411789
joyous,163
smilingly,8
invigorate,9
faster,462433
lavish,85
smile,5553
handsome,916
nice,414028
amaze,527
hardy,1418
sumptuousness,2
